Millesime,Catégorie juridique,Catégorie,Etablissement2,Ressource,Négociée,Valeur,Code département,Académie,Code Région,Région
2016,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Paris-Sorbonne,Times Digital Archives,NON,4370.0,D075,Paris,R11,Île-de-France
2018,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Sorbonne Nouvelle - Paris 3,Times Digital Archives,NON,6507.9,D075,Paris,R11,Île-de-France
2016,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Sorbonne Nouvelle - Paris 3,Times Literary Supplement (TLS),NON,2915.0,D075,Paris,R11,Île-de-France
2016,Sans personnalité juridique - secteur public,Bibliothèque,Bibliothèque interuniversitaire de la Sorbonne (BIS),Torrossa,NON,8633.0,D075,Paris,R11,Île-de-France
2015,"Établissement public à caractère scientifique, culturel et professionnel",Grand établissement,Sciences Po (IEP de Paris),UN Comtrade,NON,4158.0,D075,Paris,R11,Île-de-France
2018,"Établissement public à caractère scientifique, culturel et professionnel",Grand établissement,Sciences Po (IEP de Paris),UN Comtrade,NON,3867.98,D075,Paris,R11,Île-de-France
2016,Établissement public national à caractère administratif,Organisme de recherche,Institut national de recherche en informatique et en automatique (Inria),University of Alberta Press - Revues,NON,2199.0,D078,Versailles,R11,Île-de-France
2017,Groupement d'intérêt public,Bibliothèque,Bibliothèque universitaire des langues et civilisations (BULAC),University of British Columbia Press - Revues,NON,306.0,D075,Paris,R11,Île-de-France
2018,Groupement d'intérêt public,Bibliothèque,Bibliothèque universitaire des langues et civilisations (BULAC),University of California Press – revues,NON,1269.15,D075,Paris,R11,Île-de-France
2018,"Établissement public à caractère scientifique, culturel et professionnel",Grand établissement,École des hautes études en sciences sociales (EHESS),University of California Press – revues,NON,874.58,D075,Paris,R11,Île-de-France
2015,Groupement d'intérêt public,Bibliothèque,Bibliothèque universitaire des langues et civilisations (BULAC),University of Chicago Press (UCP) - Revues,NON,176.0,D075,Paris,R11,Île-de-France
2018,Groupement d'intérêt public,Bibliothèque,Bibliothèque universitaire des langues et civilisations (BULAC),University of Chicago Press (UCP) - Revues,NON,394.71,D075,Paris,R11,Île-de-France
2016,"Établissement public à caractère scientifique, culturel et professionnel",École normale supérieure,École normale supérieure PSL (ENS PSL),University of Chicago Press (UCP) - Revues,NON,981.0,D075,Paris,R11,Île-de-France
2016,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Paris-Sorbonne,University of Toronto Press - Ebooks,NON,379.0,D075,Paris,R11,Île-de-France
2017,Établissement public national à caractère administratif,Administration publique,Institut national de l'information géographique et forestière (IGN),University of Toronto Press - Revues,NON,315.0,D094,Créteil,R11,Île-de-France
2016,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Paris-Est Marne-la-Vallée (UPEM),Urbamet,NON,1487.0,D077,Créteil,R11,Île-de-France
2016,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Paris-Est Créteil (UPEC),Urbamet,NON,1190.0,D094,Créteil,R11,Île-de-France
2015,Sans personnalité juridique - secteur privé,École de commerce et de management,Novancia Business School Paris,Vente et Gestion,NON,489.0,D075,Paris,R11,Île-de-France
2016,Établissement public national à caractère industriel ou commercial doté d'un comptable public,Organisme lié à la recherche,Universcience,Video2brain,NON,1617.0,D075,Paris,R11,Île-de-France
2018,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université de Versailles Saint-Quentin-en-Yvelines (UVSQ),Visible Body - Atlas d'anatomie humaine,OUI,30868.0,D078,Versailles,R11,Île-de-France
2015,Sans personnalité juridique - secteur public,Bibliothèque,Bibliothèque interuniversitaire Cujas,Vlex Global,NON,6667.0,D075,Paris,R11,Île-de-France
2017,Établissement public national à caractère administratif,École habilitée à délivrer un diplôme d'ingénieur,École nationale supérieure de l'électronique et de ses applications de Cergy (ENSEA),Vocable,OUI,418.0,D095,Versailles,R11,Île-de-France
2015,"Établissement public à caractère scientifique, culturel et professionnel",Grand établissement relevant d'un autre département ministériel,École nationale supérieure des mines de Paris (MINES ParisTech PSL),Vocable,OUI,1524.0,D075,Paris,R11,Île-de-France
2016,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Paris Nanterre,Vocable,OUI,2556.0,D092,Versailles,R11,Île-de-France
2017,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université d'Évry-Val-d'Essonne (UEVE),Vocable,OUI,5854.0,D091,Versailles,R11,Île-de-France
2018,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Paris 1 - Panthéon Sorbonne (Paris 1),Vocable,OUI,5413.91,D075,Paris,R11,Île-de-France
2016,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Paris 8 - Vincennes - Saint-Denis,Vocable,OUI,2380.0,D093,Créteil,R11,Île-de-France
2017,Sans personnalité juridique - secteur public,Bibliothèque,Bibliothèque interuniversitaire Sainte-Barbe (BSB),Vocale Presse,NON,3673.0,D075,Paris,R11,Île-de-France
2015,"Établissement public à caractère scientifique, culturel et professionnel",Université,Université Paris Diderot,Vocale Presse,NON,1005.0,D075,Paris,R11,Île-de-France
2016,Sans personnalité juridique - secteur privé,École de commerce et de management,"Institut supérieur international du parfum, de la cosmétique et de l'aromatique alimentaire (ISIPCA)",Volatile Compounds in Food (VCF),NON,1200.0,D078,Versailles,R11,Île-de-France
2018,"Établissement public à caractère scientifique, culturel et professionnel",Grand établissement,École des hautes études en sciences sociales (EHESS),Wanfang Data,NON,928.0,D075,Paris,R11,Île-de-France
2018,"Établissement public à caractère scientifique, culturel et professionnel",Grand établissement relevant d'un autre département ministériel,Institut des sciences et industries du vivant et de l'environnement (Agro Paris Tech),Web of Science (WoS),OUI,5535.93,D075,Paris,R11,Île-de-France
2016,Sans personnalité juridique - secteur public,Bibliothèque,Bibliothèque interuniversitaire de Santé (BIUS),Web of Science (WoS),OUI,18650.0,D075,Paris,R11,Île-de-France
2017,Établissement public national à caractère industriel ou commercial doté d'un comptable public,Organisme de recherche,Centre de coopération internationale en recherche agronomique pour le développement (CIRAD),Web of Science (WoS),OUI,118202.0,D075,Paris,R11,Île-de-France
2018,Établissement public national à caractère industriel ou commercial doté d'un comptable public,Organisme de recherche,Commissariat à l’énergie atomique et aux énergies alternatives (CEA),Web of Science (WoS),OUI,238000.0,D075,Paris,R11,Île-de-France
2015,SA à conseil d'administration,École de commerce et de management,École des hautes études commerciales de Paris (HEC Paris),Web of Science (WoS),OUI,6192.0,D078,Versailles,R11,Île-de-France
2018,SA à conseil d'administration,École de commerce et de management,École des hautes études commerciales de Paris (HEC Paris),Web of Science (WoS),OUI,5911.0,D078,Versailles,R11,Île-de-France
2015,"Établissement public à caractère scientifique, culturel et professionnel",Grand établissement relevant d'un autre département ministériel,École nationale des ponts et chaussées (ENPC),Web of Science (WoS),OUI,11450.0,D077,Créteil,R11,Île-de-France
2018,"Établissement public à caractère scientifique, culturel et professionnel",Grand établissement relevant d'un autre département ministériel,École nationale des ponts et chaussées (ENPC),Web of Science (WoS),OUI,12443.43,D077,Créteil,R11,Île-de-France
2015,"Établissement public à caractère scientifique, culturel et professionnel",École normale supérieure,École normale supérieure Paris-Saclay (ENS Paris-Saclay),Web of Science (WoS),OUI,12206.0,D091,Versailles,R11,Île-de-France
2015,"Établissement public à caractère scientifique, culturel et professionnel",Grand établissement relevant d'un autre département ministériel,École polytechnique (X),Web of Science (WoS),OUI,8598.0,D091,Versailles,R11,Île-de-France
2017,Établissement public national à caractère industriel ou commercial doté d'un comptable public,Organisme de recherche,IFP Energies nouvelles (IFPEN),Web of Science (WoS),OUI,46000.0,D092,Versailles,R11,Île-de-France
2017,Établissement public national à caractère industriel ou commercial doté d'un comptable public,Établissement public à caractère industriel et commercial,Institut de radioprotection et de sûreté nucléaire (IRSN),Web of Science (WoS),OUI,16202.0,D092,Versailles,R11,Île-de-France
