Mois;Essonne 91;Eure-et-Loir 28;Hauts-de-Seine 92;Paris 75;Seine-et-Marne 77;Seine-Saint-Denis 93;Val-d'Oise 95;Val-de-Marne 94;Yvelines 78;Total
Décembre 2006; 53 120;  0; 85 490; 166 720; 63 050; 110 420; 70 220; 73 500; 65 170; 687 680
Janvier 2007; 53 750;  0; 85 610; 167 270; 63 520; 111 780; 70 780; 73 790; 65 580; 692 090
Février 2007; 53 070;  0; 85 090; 166 840; 62 800; 110 860; 70 500; 73 280; 64 960; 687 400
Mars 2007; 52 110;  0; 83 640; 165 240; 61 600; 109 810; 69 510; 72 520; 63 960; 678 380
Avril 2007; 50 810;  0; 82 740; 162 820; 60 030; 107 680; 68 590; 71 400; 63 030; 667 110
Mai 2007; 50 090;  0; 81 390; 160 740; 59 190; 107 320; 67 420; 70 680; 61 700; 658 530
Juin 2007; 48 570;  0; 79 380; 157 570; 57 620; 104 630; 65 650; 68 950; 60 370; 642 730
Juillet 2007; 48 460;  0; 78 450; 156 270; 57 390; 102 300; 64 870; 67 890; 60 270; 635 900
Août 2007; 49 460;  0; 79 290; 157 600; 58 290; 102 420; 65 620; 68 360; 61 340; 642 390
Septembre 2007; 49 890;  0; 79 550; 158 950; 59 120; 104 560; 66 130; 69 030; 62 030; 649 270
Octobre 2007; 50 170;  0; 79 540; 159 060; 59 260; 105 300; 66 440; 69 390; 62 090; 651 260
Novembre 2007; 49 580;  0; 78 080; 156 550; 58 690; 103 690; 65 720; 68 100; 61 020; 641 410
Décembre 2007; 48 580;  0; 76 340; 153 520; 57 720; 101 200; 64 300; 66 600; 59 640; 627 890
Janvier 2008; 49 530;  0; 77 260; 155 300; 59 130; 103 310; 65 520; 67 810; 60 420; 638 280
Février 2008; 49 520;  0; 76 880; 155 320; 58 820; 102 770; 65 110; 67 010; 59 830; 635 260
Mars 2008; 48 810;  0; 76 090; 153 650; 58 210; 101 760; 64 350; 65 990; 58 880; 627 740
Avril 2008; 48 210;  0; 75 350; 152 870; 57 420; 100 790; 63 450; 65 030; 58 170; 621 280
